#{"t_start": 1671014251.9923966, "env_id": "CartPole-v0"}
r,l,t
200.0,200,34.866707
200.0,200,34.969666
200.0,200,35.098409
200.0,200,35.232473
200.0,200,35.359534
200.0,200,35.469472
200.0,200,35.57884
200.0,200,35.673004
200.0,200,37.128196
200.0,200,37.32616
200.0,200,37.469754
200.0,200,37.596761
200.0,200,37.706882
200.0,200,37.829365
200.0,200,37.957813
200.0,200,38.068301
200.0,200,38.179998
200.0,200,38.290468
200.0,200,39.715282
200.0,200,39.828218
200.0,200,39.969672
200.0,200,40.105477
200.0,200,40.215145
200.0,200,40.325812
200.0,200,40.470469
200.0,200,40.589037
200.0,200,40.714057
200.0,200,40.823462
200.0,200,42.302285
200.0,200,42.453266
200.0,200,42.563257
200.0,200,42.682107
200.0,200,42.808354
200.0,200,42.921613
200.0,200,43.062293
200.0,200,43.175291
200.0,200,43.286855
200.0,200,43.464845
200.0,200,44.844606
200.0,200,44.953838
200.0,200,45.079524
200.0,200,45.205529
200.0,200,45.324904
200.0,200,45.422513
200.0,200,45.53273
200.0,200,45.642828
200.0,200,45.753046
200.0,200,45.85685
200.0,200,45.970541
200.0,200,47.559531
200.0,200,47.685998
200.0,200,47.796708
200.0,200,47.922872
200.0,200,48.038357
200.0,200,48.147729
200.0,200,48.258339
200.0,200,48.411687
200.0,200,48.529433
200.0,200,48.638859
200.0,200,50.008312
200.0,200,50.138908
200.0,200,50.249609
200.0,200,50.358968
200.0,200,50.469815
200.0,200,50.579173
200.0,200,50.707465
200.0,200,50.816938
200.0,200,50.922825
200.0,200,51.03374
200.0,200,52.461417
200.0,200,52.635863
200.0,200,52.773343
200.0,200,52.867093
200.0,200,52.985456
200.0,200,53.094831
200.0,200,53.204205
200.0,200,53.356805
200.0,200,53.494298
200.0,200,53.60368
200.0,200,54.875108
200.0,200,55.018268
200.0,200,55.127642
200.0,200,55.23935
200.0,200,55.34874
200.0,200,55.486276
200.0,200,55.613135
200.0,200,55.72249
200.0,200,55.84152
